link_id,abs_key,source,target,wkt,nature,possol
33,TRONROUT0000002003307960,1385,1444,"LINESTRING (947545.4 6437934.9, 947541.3 6437927.1, 947535.6 6437918.3, 947534 6437916)",Sentier,0
34,TRONROUT0000002003594778,1445,1446,"LINESTRING (947036.8 6425424.5, 947037.7 6425434.7, 947040.2 6425444.4, 947042.5 6425449.2, 947048.7 6425450.2, 947052.7 6425452.4, 947056.2 6425452.7, 947059.1 6425452.7, 947061.4 6425454.5, 947063.8 6425454.5, 947067.2 6425454.1, 947070.5 6425454.3, 947072.7 6425455.4, 947073.7 6425457.1, 947074.8 6425458.4, 947077.6 6425462.2, 947086.1 6425468.4, 947090 6425471.9, 947091 6425474.9, 947093.5 6425479.5, 947096.3 6425482.3, 947098.6 6425482.5, 947101.4 6425485.3, 947106.4 6425489.7, 947110.3 6425492.9, 947112.9 6425499.9, 947115.9 6425503.3, 947122.6 6425508.6, 947126 6425508.6, 947128.4 6425511, 947130.4 6425513.7, 947138.7 6425527.9, 947141 6425531.4, 947142.2 6425533.5, 947146.1 6425546.5, 947147.7 6425548.3, 947149.6 6425552.2, 947149.8 6425557.6, 947147.9 6425561.5, 947145.9 6425563.8, 947146 6425572.9, 947147.5 6425581.2, 947150 6425583.3, 947152.8 6425585.9, 947156.9 6425594.8, 947158 6425598.1, 947158.5 6425601.8, 947161 6425604.6, 947164 6425612.7)",Sentier,0
35,TRONROUT0000002005858344,1447,1448,"LINESTRING (941628.3 6435225.8, 941627.6 6435224.8, 941621.5 6435221.4, 941615.8 6435216.7, 941607.4 6435211.5, 941602.3 6435198.9, 941599.4 6435197.5, 941594 6435196.4, 941589.8 6435197.1, 941590.1 6435197.5)",Sentier,0
36,TRONROUT0000002005858362,1449,1450,"LINESTRING (942647 6436739.3, 942648.6 6436740.3, 942650.2 6436741.7, 942657.5 6436752.9, 942662.1 6436764.1, 942668 6436772.6, 942671.3 6436780.8, 942674.5 6436788.3, 942677.6 6436796.2, 942682.1 6436808.4, 942681.8 6436812.7)",Route_a_1_chaussee,0
37,TRONROUT0000002005858357,1450,1451,"LINESTRING (942681.8 6436812.7, 942678.1 6436824.7, 942676.7 6436844.3, 942674 6436847.9, 942667.3 6436851.9, 942661.8 6436854.2, 942649 6436861.5, 942640.6 6436867.4, 942631.2 6436875.7, 942627.3 6436881.4, 942620.9 6436899.1, 942618.5 6436905.1, 942617.2 6436907.9, 942613.5 6436910.8)",Route_a_1_chaussee,0
38,TRONROUT0000002006316638,1452,1453,"LINESTRING (947955.6 6437988.8, 947964.2 6437984.4, 947973.7 6437981.3, 947987.7 6437979.5, 947994.3 6437979.5)",Chemin,0
39,TRONROUT0000002006316573,1454,1455,"LINESTRING (945133.4 6437204.2, 945126.8 6437204.4)",Sentier,1
40,TRONROUT0000000336594568,1456,1457,"LINESTRING (938067.8 6432595.9, 938087.1 6432580.8, 938098.3 6432573.8, 938109.5 6432568.8, 938119 6432563.2, 938128.5 6432554.6, 938143.3 6432548.2, 938158.4 6432545.1, 938141.1 6432538.4, 938125.1 6432541.2, 938114.2 6432545.1, 938108.9 6432554.6, 938102.5 6432548.2, 938094.1 6432544.8, 938080.6 6432550.7, 938069.2 6432555.4, 938056.3 6432562.4, 938044 6432570.5, 938030.6 6432580, 938019.4 6432584.1, 938008.7 6432574.1, 938001.8 6432565.7, 937988.6 6432559.6, 937985.8 6432551.5, 937996.7 6432552.1, 938012.4 6432558.2, 938030 6432557.1, 938037.3 6432551.2, 938035 6432538.7, 938035 6432525, 938043.2 6432508.8, 938052.7 6432497.9, 938057.7 6432492.9, 938068.1 6432489.3, 938088.8 6432482.2, 938102.2 6432472.4, 938113.4 6432463.5, 938128.5 6432454, 938134.1 6432448.4, 938124.6 6432445.4, 938105 6432450.9, 938088.5 6432455.1, 938075.6 6432462.4, 938063 6432464.9, 938047.1 6432465.2, 938034 6432469.4, 938018.8 6432471.9, 938007.1 6432469.1, 937996.7 6432456.8, 937975.5 6432423.2, 937962.1 6432406.8, 937951.7 6432395.9, 937934.9 6432378.9, 937922.4 6432363, 937944.2 6432361.6, 937959.6 6432363, 937969.9 6432370.8, 937976.9 6432354.9, 937977.5 6432341.8, 937971.3 6432332.8, 937958.4 6432319.7)",Sentier,0
41,TRONROUT0000002004122499,1458,1459,"LINESTRING (941020.3 6434706.9, 941023.1 6434693.6, 941030.4 6434684.1, 941031.5 6434674.2, 941035.4 6434662.7, 941039.3 6434653.1, 941042.3 6434649.6, 941045.8 6434634.1, 941047.6 6434639.8, 941048.7 6434651.4, 941048.4 6434661.6, 941048.7 6434673.5, 941057.8 6434672.3, 941062.9 6434666.8, 941066.5 6434664.8, 941070.1 6434667.1, 941068.9 6434676.7, 941067 6434691, 941068.1 6434702, 941067.4 6434708.5, 941069.5 6434719.6, 941073.1 6434729.9, 941077.1 6434738.6, 941079.1 6434747.5, 941075.8 6434755.1, 941076.3 6434765.2, 941076.4 6434777.6, 941079.5 6434793.6, 941085.9 6434803.9, 941093.9 6434816.1, 941102.4 6434822.7, 941110.2 6434823.2, 941118 6434826.1, 941128.2 6434828, 941133.7 6434825.4, 941140.4 6434824.6, 941145.2 6434819.2, 941149.3 6434818.2, 941154 6434811.1, 941161 6434812.2, 941167.9 6434825, 941170.6 6434836.1, 941170 6434842.3, 941168.5 6434847.7, 941164.4 6434852.3, 941170.9 6434859.7, 941171.6 6434866.2, 941183.8 6434865.5, 941185.9 6434870.7, 941193.5 6434869, 941197.7 6434874.6, 941193.4 6434878.4, 941181.4 6434883.3, 941175.3 6434890.9, 941176.4 6434898.5, 941181.7 6434907.7, 941188.3 6434912, 941195.6 6434919.7, 941208.1 6434924.7, 941218.7 6434927.5, 941217 6434936.2, 941219.7 6434941.7, 941218.7 6434951.5, 941225.4 6434962.7, 941229 6434977.8, 941229.4 6434985.2, 941233.6 6434990, 941235.8 6435000.1, 941239.7 6435004.3, 941243.4 6435016, 941254.9 6435027.1, 941263.7 6435035.5, 941276.3 6435043.8, 941291 6435054.4, 941306.4 6435065.2, 941322.1 6435076.4, 941337.2 6435090.3, 941357.7 6435109.7, 941372.6 6435121.1, 941378.5 6435127.6, 941391.4 6435127.6, 941407.3 6435133.9, 941421.6 6435139.6, 941435 6435145.2, 941446.9 6435154.6, 941458 6435162, 941468.4 6435169.8, 941476.5 6435176, 941480.1 6435183.3, 941480.9 6435191.3, 941473.5 6435198, 941474.3 6435206.2, 941481.4 6435215.6)",Sentier,0
42,TRONROUT0000002006316663,1460,1461,"LINESTRING (942309.5 6436810.3, 942310.9 6436813, 942317.4 6436811.4, 942322.5 6436814.6)",Sentier,0
43,TRONROUT0000000008082574,1462,1463,"LINESTRING (945581.1 6437510.8, 945578.4 6437509.1, 945577.5 6437505.7, 945576.9 6437500.4, 945574 6437497.3, 945566.4 6437497.4, 945556.3 6437501.3, 945545.3 6437511.7, 945531.7 6437519.8, 945494.9 6437532.3, 945487.2 6437531.4, 945479.6 6437528.3, 945469.9 6437524.2, 945461.9 6437521, 945455.4 6437515.7, 945450.2 6437512.6, 945440.7 6437503.8, 945436.5 6437492.4)",Sentier,0
44,TRONROUT0000002002037842,1464,1465,"LINESTRING (948206.2 6438602.5, 948195.5 6438605, 948181.6 6438612.7, 948164.8 6438625, 948152.3 6438635.3, 948145.1 6438645.1, 948130 6438671.3, 948115.2 6438695.1, 948105.3 6438716.7, 948094.4 6438756.8, 948083.2 6438795.8, 948080 6438804.5, 948064 6438835.8, 948042 6438879, 948024.5 6438914.3, 948013.5 6438935.4, 948002.2 6438954.8, 947997 6438966.9, 947991.3 6438977.5, 947986.4 6438997.4, 947980.2 6439029.5, 947974.3 6439055.6, 947968.3 6439071.7, 947964 6439080.7, 947954.9 6439094.9, 947940.5 6439111.2, 947924.8 6439132.3, 947918.9 6439140.9, 947916.3 6439144.8, 947895 6439176.9, 947870 6439211.5, 947862.2 6439221.2, 947850.7 6439230.3, 947812.9 6439260.9, 947798 6439269.6, 947782.1 6439276.3, 947767 6439280.2, 947746.6 6439283.6, 947717.2 6439288.6, 947716.5 6439288.8)",Route_empierree,0
45,TRONROUT0000000008088466,1466,1467,"LINESTRING (941358.5 6427372, 941358.5 6427393.3, 941322.1 6427372.4, 941325.9 6427404.2, 941336.7 6427422.6, 941322.6 6427432.4, 941350.1 6427453.3, 941332.6 6427459.7, 941378.8 6427491.9, 941365.5 6427497.3, 941394.7 6427502.4, 941426.5 6427505.6, 941474.2 6427502.6, 941522.6 6427491.6, 941564.1 6427489.4, 941597.6 6427488.3, 941649.7 6427489.6, 941711.6 6427507.7, 941851.5 6427566.4, 941898.6 6427597.8, 941958.4 6427637.6, 942016.7 6427666.6, 942044.4 6427677.4, 942077.6 6427688.3, 942100.8 6427700.8, 942121.1 6427721)",Sentier,0
46,TRONROUT0000000356599936,1468,1469,"LINESTRING (945686.1 6439025.2, 945683.1 6439026.1, 945670 6439030.8, 945662.4 6439033.5, 945657.1 6439039.2, 945654.2 6439042.6, 945651.2 6439045.8, 945645.9 6439050.4, 945638.5 6439052, 945636.1 6439050.8)",Sentier,0
47,TRONROUT0000000008083127,1470,1471,"LINESTRING (946337.6 6436617.6, 946332.3 6436619, 946322.9 6436622.7, 946316 6436625.4, 946312.2 6436626.2, 946308.9 6436626.2, 946303.2 6436624.9, 946298.6 6436623.1, 946292.4 6436614, 946282.4 6436606.4, 946250.1 6436599.8, 946215.6 6436594.8, 946203.4 6436596.5, 946198.2 6436600, 946179.9 6436612.4, 946158.8 6436621.7, 946133 6436622.1, 946105.2 6436620.2)",Chemin,0
48,TRONROUT0000000326565691,1472,1473,"LINESTRING (945591.9 6437176.4, 945601.2 6437177.4, 945604.9 6437176, 945609 6437173.4, 945612.8 6437170.1, 945616.2 6437166.2, 945619.1 6437161.6, 945621.6 6437156.3, 945627.7 6437135.8, 945630.2 6437133, 945633.7 6437131.7, 945637.2 6437132.7, 945639.2 6437135.6, 945639.2 6437139.1, 945634 6437152.6)",Route_a_1_chaussee,0
49,TRONROUT0000000356599843,1474,1475,"LINESTRING (940836.9 6427785.8, 940832.7 6427782.7, 940791.2 6427757.9, 940764.5 6427753, 940735.3 6427750.3, 940709.2 6427748.6, 940688.7 6427743.7, 940664.7 6427739.3, 940651.1 6427740.3)",Route_a_1_chaussee,0
50,TRONROUT0000000326565712,1476,1477,"LINESTRING (945541.1 6437084.1, 945529.8 6437057.4, 945527.3 6437053.7)",Route_a_1_chaussee,0
51,TRONROUT0000002006316649,1478,1479,"LINESTRING (946750 6437627.2, 946749.2 6437627, 946736.1 6437626.7, 946731 6437619.3, 946722.5 6437609.8, 946716.5 6437605, 946712.4 6437600.7, 946708.3 6437596.6, 946705.8 6437592, 946705.9 6437588.8, 946706.6 6437584.9, 946710.5 6437581.7, 946715.8 6437580, 946720.3 6437580.2, 946723.6 6437579.4, 946723.8 6437577.4, 946721 6437574.7, 946712.6 6437572.5, 946696.3 6437576.1, 946692.6 6437578.7, 946691.2 6437581.9, 946690.7 6437584.7, 946689.3 6437585.9, 946685.2 6437583, 946686.1 6437578, 946691.4 6437570.2, 946698.3 6437564.6, 946702.1 6437562.3, 946703.8 6437559.3, 946701.3 6437557.8, 946694.7 6437558.4, 946684.9 6437562.1, 946675.2 6437569.3, 946672 6437573.6)",Sentier,0
52,TRONROUT0000000008082594,1480,1463,"LINESTRING (945429.4 6437483.7, 945436.5 6437492.4)",Route_a_1_chaussee,0
